beta,gamma,h,infected_maksimum,hari_puncak,hari_siaga,waktu_komputasi_detik
0.2,0.14285714285714285,1,2955.7260703594984,76.0,62.0,0.0005795999895781279
0.3,0.14285714285714285,1,10946.487218990853,39.0,25.0,0.00037260004319250584
0.4,0.14285714285714285,1,17842.80557852084,27.0,13.0,0.00034619984216988087
