hari,S,I,R
71.0,43166752.00269083,3947994.687706089,4201631.309603044
72.0,42170449.56923294,4380297.880063108,4765630.550703914
73.0,41090565.49684525,4834425.112441777,5391387.390712929
74.0,39929244.67025233,5305113.780114442,6082019.549633183
75.0,38690872.861569434,5785612.191638129,6839892.946792388
76.0,37382224.07657714,6267744.949253543,7666408.974169264
77.0,36012472.80838847,6742104.081834564,8561801.109776912
78.0,34593043.86943418,7198375.294812495,9524958.835753279
79.0,33137288.092815846,7625791.743600472,10553298.163583634
80.0,31659993.31213098,8013687.703770983,11642696.984097987
81.0,30176763.343482986,8352105.143308838,12787509.513208129
82.0,28703318.547771655,8632392.06140462,13980667.390823677
83.0,27254785.10392015,8847726.63934118,15213866.256738622
84.0,25845042.848454613,8993507.946329404,16477827.205215933
85.0,24486192.473838538,9067571.47146985,17762614.05469156
86.0,23188184.06614832,9070212.526092948,19057981.407758683
87.0,21958624.81564474,9004027.130011817,20353726.05434339
88.0,20802759.60486652,8873602.75078835,21640015.64434508
89.0,19723598.72846718,8685106.091360781,22907673.180171985
90.0,18722155.013206337,8445820.364998655,24148402.621794954
91.0,17797748.62922187,8163680.98255474,25354948.388223335
92.0,16948340.617514566,7846848.853897083,26521188.5285883
93.0,16170863.295459598,7503347.768252468,27642166.93628788
94.0,15461524.78163053,7140779.4580454705,28714073.760323945
95.0,14816073.897212721,6766118.991313924,29734185.1114733
96.0,14230019.369128287,6385585.092067798,30700773.53880386
97.0,13698803.002630198,6004575.016841915,31612999.980527833
98.0,13217930.266813386,5627651.321681311,32470796.41150525
99.0,12783063.822794732,5258567.576888351,33274746.600316864
100.0,12390086.331562735,4900321.128564869,34025970.53987234
101.0,12035138.822395392,4555222.762222947,34726016.41538161
102.0,11714640.33567276,4224975.140056586,35376762.5242706
103.0,11425293.740364017,3910753.8582143877,35980330.40142154
104.0,11164081.7453766,3613286.730599749,36539009.52402359
105.0,10928256.283786735,3332928.373532508,37055193.3426807
106.0,10715323.706346443,3069728.3261824423,37531325.967471056
107.0,10523027.597457469,2823491.8170453534,37969858.58549712
108.0,10349330.52371643,2593832.9169227714,38373214.55936074
109.0,10192395.63142612,2380220.249652684,38743762.11892114
110.0,10050568.709379565,2182015.7074631425,39083793.583157234
111.0,9922361.10989074,1998506.7773143754,39395510.112794824
112.0,9806433.758636076,1828933.1603812727,39681011.08098259
113.0,9701582.368581316,1672508.3846672806,39942287.24675134
114.0,9606723.893635992,1528437.0903744213,40181217.01598952
115.0,9520884.204505831,1395928.6237368078,40399565.171757296
116.0,9443186.935316138,1274207.518106956,40598983.54657684
117.0,9372843.429459961,1162521.3785192815,40781013.19202069
118.0,9309143.702653864,1060146.6226797658,40947087.6746663
119.0,9251448.337308267,966392.4704996815,41098537.19219198
120.0,9199181.222814772,880603.5177789361,41236593.259406224
121.0,9151823.05962467,802161.1784291905,41362393.761946075
122.0,9108905.5499149,730484.2340776469,41476988.21600739
123.0,9070006.203429952,665028.689980074,41581343.10658991
124.0,9034743.69322174,605287.1016197037,41676347.205158494
125.0,9002773.702136552,550787.5067592196,41762816.79110417
126.0,8973785.20679896,501092.07255978155,41841500.720641196
127.0,8947497.15138721,455795.54617727804,41913085.30243545
128.0,8923655.468614686,414523.5794959037,41978198.95188934
129.0,8902030.410000622,376930.983896268,42037416.60610305
130.0,8882414.151730508,342699.9587526297,42091263.8895168
131.0,8864618.64618983,311538.3273286467,42140221.026481465
132.0,8848473.692630712,283177.80555509985,42184726.50181413
133.0,8833825.203432247,257372.32253140796,42225180.474036284
134.0,8820533.645075709,233896.4062406018,42261947.94868363
135.0,8808472.635309737,212543.6436864868,42295361.72100371
136.0,8797527.680060431,193125.22126629393,42325725.09867321
137.0,8787595.035477791,175468.5485251776,42353314.41599697
138.0,8778580.682130976,159415.96636839543,42378381.35150056
139.0,8770399.399795823,144823.5392223494,42401155.060981765
140.0,8762973.932541654,131559.92944475502,42421844.13801353
141.0,8756234.234940872,119505.35141057202,42440638.41364849
142.0,8750116.791212011,108550.60208078001,42457710.60670715
143.0,8744563.999980547,98596.1644435625,42473217.835575834
144.0,8739523.61811574,89551.37995928955,42487303.00192492
145.0,8734948.257788152,81333.68600697926,42500096.05620482
146.0,8730794.931501837,73867.91429229661,42511715.154205814
147.0,8727024.640396897,67085.64621262281,42522267.713390425
148.0,8723602.00160009,60924.621264768226,42531851.37713508
149.0,8720494.910830675,55328.19471064504,42540554.89445862
150.0,8717674.2368517,50244.84087381445,42548458.922274426
