skenario,h,infected_maksimum,hari_puncak,hari_siaga,waktu_komputasi_detik,selisih_infected_maksimum_dari_h1,selisih_hari_puncak_dari_h1
h = 1,1.0,10946.487218990853,39.0,25.0,0.0006310001481324434,0.0,0.0
h = 0.5,0.5,10746.808265610955,38.5,24.5,0.0006727001164108515,199.6789533798983,0.5
